,sentence,category,subcategory,domain,id,audio_quality,prosody_1,meaning_1,translation_1,audio_1,prosody_2,meaning_2,translation_2,audio_2
1,The plaintiff filed the lawsuit on Monday.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10004,2,The *PLAINTIFF* filed the lawsuit on Monday.,"The plaintiff, not someone else, filed the lawsuit.",Der Kläger selbst reichte die Klage am Montag ein.,data/sentence_stress/wavs/10004/10004_1_0.wav,The plaintiff filed the *LAWSUIT* on Monday.,"It was the lawsuit that was filed, not something else.",Der Kläger reichte die Klage am Montag ein.,data/sentence_stress/wavs/10004/10004_2_1.wav
2,The jury found the defendant guilty.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10005,1,The *JURY* found the defendant guilty.,"It was the jury, not another party, who found the defendant guilty.",Gerade die Geschworenen befanden den Angeklagten für schuldig.,data/sentence_stress/wavs/10005/10005_1_3.wav,The jury found the *DEFENDANT* guilty.,"It was the defendant who was found guilty, not someone else.",Die Geschworenen befanden genau den Angeklagten für schuldig.,data/sentence_stress/wavs/10005/10005_2_0.wav
4,The judge decided to dismiss the case.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10007,1,The *JUDGE* decided to dismiss the case.,"It was the judge who made the decision, not someone else.","Der Richter selbst entschied, den Fall abzuweisen.",data/sentence_stress/wavs/10007/10007_1_5.wav,The judge decided to *DISMISS* the case.,"The judge chose to dismiss the case, as opposed to another action (like to hear it).","Der Richter entschied, den Fall abzuweisen.",data/sentence_stress/wavs/10007/10007_2_4.wav
5,The lawyer presented the evidence to the jury.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10008,1,The *LAWYER* presented the evidence to the jury.,"It was the lawyer who presented the evidence, not another party.","Der Anwalt war es, der der Jury die Beweise vorlegte.",data/sentence_stress/wavs/10008/10008_1_5.wav,The lawyer presented the *EVIDENCE* to the jury.,"The evidence, as opposed to something else, was presented to the jury.",Der Anwalt legte der Jury die Beweise vor.,data/sentence_stress/wavs/10008/10008_2_5.wav
6,The agreement was signed by both parties.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10009,2,The *AGREEMENT* was signed by both parties.,"It was the agreement, not another document, that was signed by both parties.",Das Abkommen wurde von beiden Parteien unterzeichnet.,data/sentence_stress/wavs/10009/10009_1_0.wav,The agreement was signed by *BOTH* parties.,"Both parties signed the agreement, not just one party.",Die Vereinbarung wurde von beiden Parteien unterzeichnet.,data/sentence_stress/wavs/10009/10009_2_1.wav
8,The contract was breached by the supplier.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10013,1,The *CONTRACT* was breached by the supplier.,"It was the contract, not another type of agreement, that was breached.",Gerade der Vertrag wurde vom Lieferanten gebrochen.,data/sentence_stress/wavs/10013/10013_1_0.wav,The contract was breached by the *SUPPLIER*.,"The supplier, not another party, breached the contract.",Der Vertrag wurde vom Lieferanten selbst gebrochen.,data/sentence_stress/wavs/10013/10013_2_5.wav
9,The evidence was excluded from the trial.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10014,1,The *EVIDENCE* was excluded from the trial.,"It was the evidence, not another type of submission, that was excluded.",Die Beweise wurden als Beweisstücke ausgeschlossen.,data/sentence_stress/wavs/10014/10014_1_3.wav,The evidence was excluded from the *TRIAL*.,"The evidence was excluded from the trial, not another part of the proceedings.",Die Beweise wurden vom Prozess ausgeschlossen.,data/sentence_stress/wavs/10014/10014_2_5.wav
11,The judges will choose the best speaker from each team.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10016,1,The *JUDGES* will choose the best speaker from each team.,"It is the judges who will make the decision, not anyone else.",Die Richter werden den besten Redner aus jedem Team auswählen.,data/sentence_stress/wavs/10016/10016_1_3.wav,The judges will choose the *BEST* speaker from each team.,"They will select the top speaker, not anyone else from the team.",Die Richter werden den allerbesten Redner aus jedem Team auswählen.,data/sentence_stress/wavs/10016/10016_2_1.wav
12,Our team clearly won the debate last night.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10017,2,Our *TEAM* clearly won the debate last night.,"It was our team that won, not the other team.","Unser Team war es, das letzte Nacht die Debatte gewonnen hat.",data/sentence_stress/wavs/10017/10017_1_2.wav,Our team *CLEARLY* won the debate last night.,There was no doubt or ambiguity in the victory.,Unser Team hat letzte Nacht eindeutig die Debatte gewonnen.,data/sentence_stress/wavs/10017/10017_2_5.wav
13,Her argument was fundamentally flawed.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10018,1,Her *ARGUMENT* was fundamentally flawed.,"It was her argument that had issues, not necessarily her delivery or demeanor.",Ihr Argument war grundlegend fehlerhaft.,data/sentence_stress/wavs/10018/10018_1_5.wav,Her argument was *FUNDAMENTALLY* flawed.,"The flaw was in the basic premise, not just a minor error.",Ihr Argument war von Grund auf fehlerhaft.,data/sentence_stress/wavs/10018/10018_2_0.wav
14,The debate will start promptly at six.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10020,2,The *DEBATE* will start promptly at six.,"It is the debate that starts at six, not another event.",Die Debatte findet pünktlich um sechs statt.,data/sentence_stress/wavs/10020/10020_1_2.wav,The debate will *START* promptly at six.,"The beginning of the debate will precisely be at six, without delay.",Die Debatte beginnt pünktlich um sechs.,data/sentence_stress/wavs/10020/10020_2_0.wav
18,We must improve relations with neighboring countries.,Sentence Stress,Contrastive Stress (General),Political Speeches,10030,1,We must *IMPROVE* relations with neighboring countries.,"Our goal should be to enhance, not just maintain, relations.",Wir müssen die Beziehungen zu den Nachbarländern verbessern.,data/sentence_stress/wavs/10030/10030_1_5.wav,We must improve relations with *NEIGHBORING* countries.,"We need to focus on improving relations with neighboring countries specifically, not distant ones.",Wir müssen die Beziehungen speziell zu den Nachbarländern verbessern.,data/sentence_stress/wavs/10030/10030_2_5.wav
21,The manager can solve this issue quickly.,Sentence Stress,Contrastive Stress (General),Customer Service,10037,1,The *MANAGER* can solve this issue quickly.,"The manager, specifically, has the capability to perform this action.",Gerade die Managerin kann dieses Problem schnell lösen.,data/sentence_stress/wavs/10037/10037_1_0.wav,The manager can solve this *ISSUE* quickly.,"This particular issue can be solved quickly, as opposed to other issues.",Die Managerin kann dieses bestimmte Problem schnell lösen.,data/sentence_stress/wavs/10037/10037_2_0.wav
22,You should contact customer service tomorrow.,Sentence Stress,Contrastive Stress (General),Customer Service,10038,1,You should contact *CUSTOMER* service tomorrow.,Reach out to the customer service department and not another department.,Du solltest morgen den Kundenservice kontaktieren.,data/sentence_stress/wavs/10038/10038_1_2.wav,You should contact customer service *TOMORROW*.,"The appropriate time to contact them is tomorrow, not today.",Du solltest morgen unbedingt den Kundenservice kontaktieren.,data/sentence_stress/wavs/10038/10038_2_5.wav
23,We can only offer a discount on selected items.,Sentence Stress,Contrastive Stress (General),Customer Service,10039,1,We can only offer a *DISCOUNT* on selected items.,"We cannot offer other benefits like freebies or exchanges, only a discount.",Wir können lediglich auf ausgewählte Artikel einen Rabatt gewähren.,data/sentence_stress/wavs/10039/10039_1_2.wav,We can only offer a discount on *SELECTED* items.,"Not all items are eligible for the discount, only certain ones.",Wir können nur auf ausgewählte Artikel einen Rabatt gewähren.,data/sentence_stress/wavs/10039/10039_2_4.wav
24,Your request will be processed by Friday.,Sentence Stress,Contrastive Stress (General),Customer Service,10040,2,Your *REQUEST* will be processed by Friday.,It is your specific request that will be processed within this timeframe.,Ihre Anfrage wird bis Freitag bearbeitet.,data/sentence_stress/wavs/10040/10040_1_3.wav,Your request will be processed by *FRIDAY*.,"The processing will be completed by Friday, not another day.",Ihre Anfrage wird spätestens am Freitag bearbeitet.,data/sentence_stress/wavs/10040/10040_2_1.wav
26,You need to take him to school.,Sentence Stress,Contrastive Stress (General),Parenting,10046,2,You need to take *HIM* to school.,"He is the one who needs to be taken to school, not someone else.",Du musst gerade ihn zur Schule bringen,data/sentence_stress/wavs/10046/10046_1_5.wav,You need to *TAKE* him to school.,"You are responsible for taking him, not another action (e.g., pick up).",Du musst ihn zur Schule bringen,data/sentence_stress/wavs/10046/10046_2_5.wav
27,Don't let her eat the candy.,Sentence Stress,Contrastive Stress (General),Parenting,10047,1,Don't let *HER* eat the candy.,"Someone else can eat the candy, but not her.",Lass sie nicht die Süßigkeiten essen.,data/sentence_stress/wavs/10047/10047_1_0.wav,Don't let her *EAT* the candy.,"She can do something else with the candy, but not eat it.",Lass sie die Süßigkeiten nicht essen.,data/sentence_stress/wavs/10047/10047_2_5.wav
29,He needs to finish his homework before dinner.,Sentence Stress,Contrastive Stress (General),Parenting,10049,2,He needs to *FINISH* his homework before dinner.,"Completing the homework is required, not starting or just working on it.",Er muss seine Hausaufgaben vollständig vor dem Abendessen fertigstellen.,data/sentence_stress/wavs/10049/10049_1_5.wav,He needs to finish *HIS* homework before dinner.,"He needs to finish the homework assigned specifically to him, not someone else's.",Er muss seine eigenen Hausaufgaben vor dem Abendessen beenden.,data/sentence_stress/wavs/10049/10049_2_3.wav
30,They must clean up before going to bed.,Sentence Stress,Contrastive Stress (General),Parenting,10051,1,They must *CLEAN* up before going to bed.,"Cleaning up is the necessary action, not another pre-bedtime task.","Sie müssen sauber machen, bevor sie ins Bett gehen.",data/sentence_stress/wavs/10051/10051_1_3.wav,They must clean up before going to *BED*.,"Cleaning must be done before going to sleep, not before doing something else.","Sie müssen aufräumen, bevor sie ins Bett gehen.",data/sentence_stress/wavs/10051/10051_2_1.wav
31,You have to finish your vegetables.,Sentence Stress,Contrastive Stress (General),Parenting,10054,2,You have to *FINISH* your vegetables.,"The vegetables need to be completely eaten, not partially eaten.",Du musst dein Gemüse komplett aufessen.,data/sentence_stress/wavs/10054/10054_1_5.wav,You have to finish *YOUR* vegetables.,"You need to eat the vegetables on your plate, not someone else's vegetables.",Du musst dein eigenes Gemüse aufessen.,data/sentence_stress/wavs/10054/10054_2_5.wav
32,Make sure she wears her coat.,Sentence Stress,Contrastive Stress (General),Parenting,10055,2,Make sure *SHE* wears her coat.,Ensure that it is specifically her who is wearing the coat.,"Sorge dafür, dass sie ihren Mantel anzieht.",data/sentence_stress/wavs/10055/10055_1_5.wav,Make sure she *WEARS* her coat.,"Ensure that she is putting on the coat, not doing something else with it.","Sorge dafür, dass sie ihren Mantel trägt.",data/sentence_stress/wavs/10055/10055_2_3.wav
33,The professor explained the topic to the students.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10056,1,The *PROFESSOR* explained the topic to the students.,"It was the professor, not someone else, who explained the topic.",Der Professor selbst erklärte den Studenten das Thema.,data/sentence_stress/wavs/10056/10056_1_3.wav,The professor explained the *TOPIC* to the students.,"It was the specific topic, not something else, that was explained.",Der Professor erklärte den Studenten genau dieses Thema.,data/sentence_stress/wavs/10056/10056_2_5.wav
34,We need to submit the homework by Friday.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10057,1,We need to submit the *HOMEWORK* by Friday.,"It's the homework, not something else, that needs to be submitted.",Wir müssen die Hausaufgaben abgeben. Nicht etwas anderes.,data/sentence_stress/wavs/10057/10057_1_0.wav,We need to submit the homework by *FRIDAY*.,"The deadline is Friday, not any other day.",Wir müssen die Hausaufgaben bis spätestens Freitag abgeben.,data/sentence_stress/wavs/10057/10057_2_1.wav
35,You need to read the entire book by next week.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10060,2,You need to *READ* the entire book by next week.,"The emphasis is on reading, not anything else.",Du musst das ganze Buch bis nächste Woche lesen.,data/sentence_stress/wavs/10060/10060_1_0.wav,You need to read the *ENTIRE* book by next week.,"The whole book, not just part of it, needs to be read.",Du musst das gesamte Buch bis nächste Woche lesen.,data/sentence_stress/wavs/10060/10060_2_4.wav
36,They decided to study together.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10062,2,They *DECIDED* to study together.,The group made a decision to study together.,"Sie beschlossen, zusammen zu lernen.",data/sentence_stress/wavs/10062/10062_1_1.wav,They decided to *STUDY* together.,"The decision was specifically to study, not to do something else, together.","Sie beschlossen, gemeinsam zu lernen.",data/sentence_stress/wavs/10062/10062_2_5.wav
37,He completed his assignment before the deadline.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10063,2,He *COMPLETED* his assignment before the deadline.,"The task was finished, and completion is emphasized.",Er hat seine Aufgabe vor der Frist abgeschlossen.,data/sentence_stress/wavs/10063/10063_1_0.wav,He completed his *ASSIGNMENT* before the deadline.,"The assignment, not anything else, was completed.",Er hat die Aufgabe vor der Frist erledigt.,data/sentence_stress/wavs/10063/10063_2_2.wav
40,You need to complete this assignment by tomorrow.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10066,2,You need to complete *THIS* assignment by tomorrow.,"This specific assignment, not another one, needs to be completed.",Du musst genau diese Aufgabe bis morgen erledigen.,data/sentence_stress/wavs/10066/10066_1_3.wav,You need to complete this assignment by *TOMORROW*.,"The assignment needs to be completed by tomorrow, not any other day.",Du musst diese Aufgabe spätestens morgen erledigen.,data/sentence_stress/wavs/10066/10066_2_4.wav
42,She will submit her research on Monday.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10068,1,She will submit her *RESEARCH* on Monday.,"It is her research, not something else, that will be submitted.",Sie wird ihre Forschung am Montag einreichen.,data/sentence_stress/wavs/10068/10068_1_5.wav,She will submit her research on *MONDAY*.,"She will submit it on Monday, not on any other day.",Sie wird ihre Forschung erst am Montag einreichen.,data/sentence_stress/wavs/10068/10068_2_4.wav
43,I can help you with your homework after class.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10070,1,I can *HELP* you with your homework after class.,"It is help, not something else, that I can provide.",Ich kann dir nach dem Unterricht mit deinen Hausaufgaben helfen,data/sentence_stress/wavs/10070/10070_1_2.wav,I can help you with your *HOMEWORK* after class.,"It is your homework, not another activity, that I can help with.",Ich kann dir nach dem Unterricht bei deinen Hausaufgaben helfen,data/sentence_stress/wavs/10070/10070_2_5.wav
44,The teacher corrected only John's paper.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10071,2,The teacher corrected *ONLY* John's paper.,The act of correction was exclusive to John's paper; no other papers were corrected.,Der Lehrer hat nur Johns Arbeit korrigiert.,data/sentence_stress/wavs/10071/10071_1_4.wav,The teacher corrected only *JOHN'S* paper.,"It was John's paper, not anyone else's, that was corrected by the teacher.",Der Lehrer hat ausschließlich Johns Arbeit korrigiert.,data/sentence_stress/wavs/10071/10071_2_5.wav
45,You should focus on improving your math skills.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10074,1,You should *FOCUS* on improving your math skills.,"Focusing specifically is the advised action, not merely trying or considering.","Du solltest dich darauf konzentrieren, deine Mathematikfähigkeiten zu verbessern.",data/sentence_stress/wavs/10074/10074_1_3.wav,You should focus on improving your *MATH* skills.,"The focus should be on math skills, not skills in another subject.","Dein Hauptaugenmerk sollte darauf liegen, deine Mathematikfähigkeiten zu verbessern.",data/sentence_stress/wavs/10074/10074_2_0.wav
