,sentence,category,subcategory,domain,id,audio_quality,prosody_1,meaning_1,translation_1,audio_1,prosody_2,meaning_2,translation_2,audio_2
1,The witness saw the incident happen at midnight.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10001,2,The *WITNESS* saw the incident happen at midnight.,"It wasn't someone else, but the witness who saw it.",Fue el testigo quien vio el incidente ocurrir a medianoche.,data/sentence_stress/wavs/10001/10001_1_3.wav,The witness saw the *INCIDENT* happen at midnight.,"The witness saw the incident, not something else.",El testigo vio el incidente a medianoche.,data/sentence_stress/wavs/10001/10001_2_5.wav
2,The judge announced the verdict this morning.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10002,2,The *JUDGE* announced the verdict this morning.,"It was the judge, not anyone else, who announced the verdict.",Fue la jueza quien anunció el veredicto esta mañana.,data/sentence_stress/wavs/10002/10002_1_4.wav,The judge *ANNOUNCED* the verdict this morning.,"The judge didn't do something else with the verdict, but announced it.",La jueza anunció el veredicto esta mañana.,data/sentence_stress/wavs/10002/10002_2_0.wav
3,The plaintiff filed the lawsuit on Monday.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10004,2,The *PLAINTIFF* filed the lawsuit on Monday.,"The plaintiff, not someone else, filed the lawsuit.",La demandante fue quien presentó la demanda el lunes.,data/sentence_stress/wavs/10004/10004_1_0.wav,The plaintiff filed the *LAWSUIT* on Monday.,"It was the lawsuit that was filed, not something else.",La demandante presentó la demanda el lunes.,data/sentence_stress/wavs/10004/10004_2_1.wav
4,The witness saw the defendant with the knife.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10006,2,The *WITNESS* saw the defendant with the knife.,"It was the witness who saw the defendant, not someone else.",Fue la testigo quien vio al acusado con el cuchillo.,data/sentence_stress/wavs/10006/10006_1_2.wav,The witness saw the *DEFENDANT* with the knife.,"The defendant was the one with the knife, not someone else.",La testigo vio al acusado con el cuchillo.,data/sentence_stress/wavs/10006/10006_2_0.wav
6,The lawyer presented the evidence to the jury.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10008,1,The *LAWYER* presented the evidence to the jury.,"It was the lawyer who presented the evidence, not another party.",Fue el abogado quien presentó las pruebas al jurado.,data/sentence_stress/wavs/10008/10008_1_5.wav,The lawyer presented the *EVIDENCE* to the jury.,"The evidence, as opposed to something else, was presented to the jury.",El abogado presentó las pruebas al jurado.,data/sentence_stress/wavs/10008/10008_2_5.wav
8,The defendant's alibi was considered by the jury.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10010,2,The *DEFENDANT'S* alibi was considered by the jury.,"It was the defendant’s alibi, not someone else's, that was considered by the jury.",La coartada del acusado fue considerada por el jurado,data/sentence_stress/wavs/10010/10010_1_0.wav,The defendant's *ALIBI* was considered by the jury.,"The alibi, not other parts of the testimony, was considered by the jury.",La coartada del acusado fue la considerada por el jurado,data/sentence_stress/wavs/10010/10010_2_5.wav
13,Our team clearly won the debate last night.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10017,2,Our *TEAM* clearly won the debate last night.,"It was our team that won, not the other team.",Fue nuestro equipo el que ganó el debate anoche.,data/sentence_stress/wavs/10017/10017_1_2.wav,Our team *CLEARLY* won the debate last night.,There was no doubt or ambiguity in the victory.,Nuestro equipo ganó claramente el debate anoche.,data/sentence_stress/wavs/10017/10017_2_5.wav
14,Her argument was fundamentally flawed.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10018,1,Her *ARGUMENT* was fundamentally flawed.,"It was her argument that had issues, not necessarily her delivery or demeanor.",Su argumento estaba fundamentalmente defectuoso,data/sentence_stress/wavs/10018/10018_1_5.wav,Her argument was *FUNDAMENTALLY* flawed.,"The flaw was in the basic premise, not just a minor error.",Su argumento estaba defectuoso de raíz,data/sentence_stress/wavs/10018/10018_2_0.wav
15,The main point was not articulated clearly.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10023,2,The *MAIN* point was not articulated clearly.,"It was the key point that was unclear, not the minor points.",El punto principal no se expresó claramente,data/sentence_stress/wavs/10023/10023_1_2.wav,The main point was not *ARTICULATED* clearly.,"The issue was in how the point was expressed, not in its content.",El punto principal no fue articulado claramente,data/sentence_stress/wavs/10023/10023_2_0.wav
17,The policy should benefit the rural communities.,Sentence Stress,Contrastive Stress (General),Political Speeches,10029,1,The policy should *BENEFIT* the rural communities.,"The policy's purpose is to benefit, not harm, the rural communities.",La política debería beneficiar a las comunidades rurales.,data/sentence_stress/wavs/10029/10029_1_5.wav,The policy should benefit the *RURAL* communities.,"The policy is intended to benefit the rural communities specifically, not urban ones.",La política debería beneficiar a las comunidades rurales específicamente.,data/sentence_stress/wavs/10029/10029_2_4.wav
18,We must improve relations with neighboring countries.,Sentence Stress,Contrastive Stress (General),Political Speeches,10030,1,We must *IMPROVE* relations with neighboring countries.,"Our goal should be to enhance, not just maintain, relations.",Debemos mejorar las relaciones con los países vecinos,data/sentence_stress/wavs/10030/10030_1_5.wav,We must improve relations with *NEIGHBORING* countries.,"We need to focus on improving relations with neighboring countries specifically, not distant ones.",Debemos mejorar las relaciones específicamente con los países vecinos,data/sentence_stress/wavs/10030/10030_2_5.wav
20,The government is focusing on climate change.,Sentence Stress,Contrastive Stress (General),Political Speeches,10032,1,The *GOVERNMENT* is focusing on climate change.,"It is the government, as opposed to other organizations, that is focusing on climate change.",Es el gobierno quien se está centrando en el cambio climático.,data/sentence_stress/wavs/10032/10032_1_3.wav,The government is focusing on *CLIMATE* change.,The government is concentrating their efforts on climate change specifically.,El gobierno se está centrando específicamente en el cambio climático.,data/sentence_stress/wavs/10032/10032_2_0.wav
21,They are discussing plans for the new infrastructure.,Sentence Stress,Contrastive Stress (General),Political Speeches,10034,1,They are discussing *PLANS* for the new infrastructure.,The focus of the discussion is on the plans for the new infrastructure.,Están discutiendo planes para la nueva infraestructura.,data/sentence_stress/wavs/10034/10034_1_2.wav,They are discussing plans for the *NEW* infrastructure.,"The infrastructure being planned is new, not existing or old.",Están discutiendo los planes para la nueva infraestructura.,data/sentence_stress/wavs/10034/10034_2_4.wav
22,The manager can solve this issue quickly.,Sentence Stress,Contrastive Stress (General),Customer Service,10037,1,The *MANAGER* can solve this issue quickly.,"The manager, specifically, has the capability to perform this action.",El gerente puede resolver este problema rápidamente.,data/sentence_stress/wavs/10037/10037_1_0.wav,The manager can solve this *ISSUE* quickly.,"This particular issue can be solved quickly, as opposed to other issues.",El gerente puede resolver rápidamente este problema en particular.,data/sentence_stress/wavs/10037/10037_2_0.wav
24,Your request will be processed by Friday.,Sentence Stress,Contrastive Stress (General),Customer Service,10040,2,Your *REQUEST* will be processed by Friday.,It is your specific request that will be processed within this timeframe.,La solicitud tuya será procesada para el viernes.,data/sentence_stress/wavs/10040/10040_1_3.wav,Your request will be processed by *FRIDAY*.,"The processing will be completed by Friday, not another day.",Tu solicitud será procesada el viernes.,data/sentence_stress/wavs/10040/10040_2_1.wav
27,Don't let her eat the candy.,Sentence Stress,Contrastive Stress (General),Parenting,10047,1,Don't let *HER* eat the candy.,"Someone else can eat the candy, but not her.",No dejes que sea ella quien coma el caramelo.,data/sentence_stress/wavs/10047/10047_1_0.wav,Don't let her *EAT* the candy.,"She can do something else with the candy, but not eat it.",No dejes que ella se coma el caramelo.,data/sentence_stress/wavs/10047/10047_2_5.wav
28,You should apologize to your sister.,Sentence Stress,Contrastive Stress (General),Parenting,10048,2,You should *APOLOGIZE* to your sister.,"Apologizing is the action you need to take, not something else.",Deberías disculparte con tu hermana.,data/sentence_stress/wavs/10048/10048_1_5.wav,You should apologize to your *SISTER*.,"Apologizing should be directed to your sister, not to someone else.","Deberías disculparte con tu hermana, no con otra persona.",data/sentence_stress/wavs/10048/10048_2_2.wav
29,He needs to finish his homework before dinner.,Sentence Stress,Contrastive Stress (General),Parenting,10049,2,He needs to *FINISH* his homework before dinner.,"Completing the homework is required, not starting or just working on it.",Tiene que terminar su tarea antes de la cena.,data/sentence_stress/wavs/10049/10049_1_5.wav,He needs to finish *HIS* homework before dinner.,"He needs to finish the homework assigned specifically to him, not someone else's.",Tiene que terminar su propia tarea antes de la cena.,data/sentence_stress/wavs/10049/10049_2_3.wav
30,Don't forget to pack their lunch.,Sentence Stress,Contrastive Stress (General),Parenting,10050,2,Don't forget to *PACK* their lunch.,"Packing is the specific task not to be forgotten, not another task related to lunch.",No olvides empacar su almuerzo.,data/sentence_stress/wavs/10050/10050_1_5.wav,Don't forget to pack *THEIR* lunch.,"It is essential to pack lunch for them, not someone else.",No olvides empacar el almuerzo de ellos.,data/sentence_stress/wavs/10050/10050_2_1.wav
32,It's not her turn to do the dishes.,Sentence Stress,Contrastive Stress (General),Parenting,10052,2,It's not *HER* turn to do the dishes.,"It is somebody else's turn, not hers.",No es el turno de ella de lavar los platos.,data/sentence_stress/wavs/10052/10052_1_1.wav,It's not her turn to do the *DISHES*.,"Her turn involves another chore, not doing the dishes.",No es su turno de lavar los platos.,data/sentence_stress/wavs/10052/10052_2_5.wav
33,He can't go out without asking first.,Sentence Stress,Contrastive Stress (General),Parenting,10053,1,He can't go *OUT* without asking first.,"Going out specifically requires permission, not another activity.",Él no puede salir sin preguntar primero.,data/sentence_stress/wavs/10053/10053_1_5.wav,He can't go out without *ASKING* first.,"Asking for permission is necessary before going out, not any other form of prior consent.",Él no puede salir sin pedir permiso primero.,data/sentence_stress/wavs/10053/10053_2_2.wav
34,You have to finish your vegetables.,Sentence Stress,Contrastive Stress (General),Parenting,10054,2,You have to *FINISH* your vegetables.,"The vegetables need to be completely eaten, not partially eaten.",Tienes que terminar tus verduras.,data/sentence_stress/wavs/10054/10054_1_5.wav,You have to finish *YOUR* vegetables.,"You need to eat the vegetables on your plate, not someone else's vegetables.",Tienes que terminar tus propias verduras.,data/sentence_stress/wavs/10054/10054_2_5.wav
35,Make sure she wears her coat.,Sentence Stress,Contrastive Stress (General),Parenting,10055,2,Make sure *SHE* wears her coat.,Ensure that it is specifically her who is wearing the coat.,Asegúrate de que sea ella quien lleve su abrigo,data/sentence_stress/wavs/10055/10055_1_5.wav,Make sure she *WEARS* her coat.,"Ensure that she is putting on the coat, not doing something else with it.",Asegúrate de que ella se ponga su abrigo,data/sentence_stress/wavs/10055/10055_2_3.wav
36,The professor explained the topic to the students.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10056,1,The *PROFESSOR* explained the topic to the students.,"It was the professor, not someone else, who explained the topic.",Fue el profesor quien explicó el tema a los estudiantes.,data/sentence_stress/wavs/10056/10056_1_3.wav,The professor explained the *TOPIC* to the students.,"It was the specific topic, not something else, that was explained.",El profesor explicó ese tema a los estudiantes.,data/sentence_stress/wavs/10056/10056_2_5.wav
37,Sarah will present her project today.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10058,1,Sarah will present *HER* project today.,"It is Sarah's own project, not anyone else's.",Sarah presentará su propio proyecto hoy.,data/sentence_stress/wavs/10058/10058_1_0.wav,Sarah will present her *PROJECT* today.,"It's her project, not something else, that will be presented today.",Sarah presentará su proyecto hoy.,data/sentence_stress/wavs/10058/10058_2_5.wav
38,The exam covers chapters five to ten.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10059,1,The exam covers *CHAPTERS* five to ten.,"The exam includes the chapters, not any other parts.",El examen cubre los capítulos del cinco al diez,data/sentence_stress/wavs/10059/10059_1_4.wav,The exam covers chapters *FIVE* to ten.,"The coverage starts at chapter five, not any other number.",El examen cubre los capítulos desde el cinco hasta el diez,data/sentence_stress/wavs/10059/10059_2_1.wav
39,They decided to study together.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10062,2,They *DECIDED* to study together.,The group made a decision to study together.,Ellos tomaron la decisión de estudiar juntos.,data/sentence_stress/wavs/10062/10062_1_1.wav,They decided to *STUDY* together.,"The decision was specifically to study, not to do something else, together.",Decidieron específicamente estudiar juntos.,data/sentence_stress/wavs/10062/10062_2_5.wav
40,He completed his assignment before the deadline.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10063,2,He *COMPLETED* his assignment before the deadline.,"The task was finished, and completion is emphasized.",El completó la tarea antes de la fecha límite.,data/sentence_stress/wavs/10063/10063_1_0.wav,He completed his *ASSIGNMENT* before the deadline.,"The assignment, not anything else, was completed.",El completó su tarea antes de la fecha límite.,data/sentence_stress/wavs/10063/10063_2_2.wav
41,The teacher marked the tests.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10064,1,The *TEACHER* marked the tests.,"It was the teacher, not someone else, who marked the tests.",Fue el maestro quien calificó las pruebas.,data/sentence_stress/wavs/10064/10064_1_1.wav,The teacher marked the *TESTS*.,"The tests, not any other type of work, were marked.","El maestro calificó las pruebas, no otro tipo de trabajo.",data/sentence_stress/wavs/10064/10064_2_2.wav
42,The teacher explained the concept to the students.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10065,1,The *TEACHER* explained the concept to the students.,"It was the teacher, not someone else, who did the explaining.",Fue la maestra quien explicó el concepto a los estudiantes.,data/sentence_stress/wavs/10065/10065_1_5.wav,The teacher explained the *CONCEPT* to the students.,"It was the concept, and not something else, that was explained.",La maestra explicó el concepto a los estudiantes.,data/sentence_stress/wavs/10065/10065_2_4.wav
47,You should study for the science exam.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10072,1,You should *STUDY* for the science exam.,"Studying is the recommended action, not doing something else.",Deberías estudiar para el examen de ciencias.,data/sentence_stress/wavs/10072/10072_1_4.wav,You should study for the *SCIENCE* exam.,"The science exam, not another subject, is what you need to study for.","Deberías estudiar para el examen de ciencias, no otro.",data/sentence_stress/wavs/10072/10072_2_4.wav
48,You should focus on improving your math skills.,Sentence Stress,Contrastive Stress (General),Teaching/Education,10074,1,You should *FOCUS* on improving your math skills.,"Focusing specifically is the advised action, not merely trying or considering.",Deberías enfocarte en mejorar tus habilidades matemáticas.,data/sentence_stress/wavs/10074/10074_1_3.wav,You should focus on improving your *MATH* skills.,"The focus should be on math skills, not skills in another subject.",Deberías centrarte en mejorar tus habilidades en matemáticas.,data/sentence_stress/wavs/10074/10074_2_0.wav
49,They need to finish the project by Friday.,Sentence Stress,Contrastive Stress (General),Workplace Communication,10076,1,They *NEED* to finish the project by Friday.,It is necessary for them to finish it by Friday.,Ellos deben terminar el proyecto para el viernes.,data/sentence_stress/wavs/10076/10076_1_5.wav,They need to finish the *PROJECT* by Friday.,"Something else, not the project, might not need to be finished by Friday.",Ellos necesitan terminar el proyecto para el viernes.,data/sentence_stress/wavs/10076/10076_2_0.wav
