,sentence,category,subcategory,domain,id,audio_quality,prosody_1,meaning_1,translation_1,audio_1,prosody_2,meaning_2,translation_2,audio_2
0,The witness saw the incident happen at midnight.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10001,2,The *WITNESS* saw the incident happen at midnight.,"It wasn't someone else, but the witness who saw it.",目撃者自身が事件が深夜に起きるのを見た。,data/sentence_stress/wavs/10001/10001_1_3.wav,The witness saw the *INCIDENT* happen at midnight.,"The witness saw the incident, not something else.",目撃者が事件が深夜に起きるのを見た。,data/sentence_stress/wavs/10001/10001_2_5.wav
1,The judge announced the verdict this morning.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10002,2,The *JUDGE* announced the verdict this morning.,"It was the judge, not anyone else, who announced the verdict.",判事こそが今朝、判決を発表した。,data/sentence_stress/wavs/10002/10002_1_4.wav,The judge *ANNOUNCED* the verdict this morning.,"The judge didn't do something else with the verdict, but announced it.",判事は今朝、判決を発表したのである。,data/sentence_stress/wavs/10002/10002_2_0.wav
2,The jury found the defendant guilty.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10005,1,The *JURY* found the defendant guilty.,"It was the jury, not another party, who found the defendant guilty.",陪審員団こそが被告を有罪としました。,data/sentence_stress/wavs/10005/10005_1_3.wav,The jury found the *DEFENDANT* guilty.,"It was the defendant who was found guilty, not someone else.",陪審員団は被告こそ有罪としました。,data/sentence_stress/wavs/10005/10005_2_0.wav
3,The witness saw the defendant with the knife.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10006,2,The *WITNESS* saw the defendant with the knife.,"It was the witness who saw the defendant, not someone else.",証人こそナイフを持っている被告を見たのです。,data/sentence_stress/wavs/10006/10006_1_2.wav,The witness saw the *DEFENDANT* with the knife.,"The defendant was the one with the knife, not someone else.",証人は被告がナイフを持っているのを見ました。,data/sentence_stress/wavs/10006/10006_2_0.wav
4,The judge decided to dismiss the case.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10007,1,The *JUDGE* decided to dismiss the case.,"It was the judge who made the decision, not someone else.",決定を下したのは裁判官だった。,data/sentence_stress/wavs/10007/10007_1_5.wav,The judge decided to *DISMISS* the case.,"The judge chose to dismiss the case, as opposed to another action (like to hear it).",裁判官はその事件を却下することを決めた。,data/sentence_stress/wavs/10007/10007_2_4.wav
5,The lawyer presented the evidence to the jury.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10008,1,The *LAWYER* presented the evidence to the jury.,"It was the lawyer who presented the evidence, not another party.",弁護士が陪審員に証拠を提出した。,data/sentence_stress/wavs/10008/10008_1_5.wav,The lawyer presented the *EVIDENCE* to the jury.,"The evidence, as opposed to something else, was presented to the jury.",弁護士は陪審員にその証拠を提出した。,data/sentence_stress/wavs/10008/10008_2_5.wav
6,The agreement was signed by both parties.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10009,2,The *AGREEMENT* was signed by both parties.,"It was the agreement, not another document, that was signed by both parties.",両者が署名したのは契約書だった。,data/sentence_stress/wavs/10009/10009_1_0.wav,The agreement was signed by *BOTH* parties.,"Both parties signed the agreement, not just one party.",契約書は両者によって署名された。,data/sentence_stress/wavs/10009/10009_2_1.wav
7,The defendant's alibi was considered by the jury.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10010,2,The *DEFENDANT'S* alibi was considered by the jury.,"It was the defendant’s alibi, not someone else's, that was considered by the jury.",被告人自身のアリバイは陪審によって検討された。,data/sentence_stress/wavs/10010/10010_1_0.wav,The defendant's *ALIBI* was considered by the jury.,"The alibi, not other parts of the testimony, was considered by the jury.",被告人のアリバイは陪審によって検討された。,data/sentence_stress/wavs/10010/10010_2_5.wav
8,The evidence was excluded from the trial.,Sentence Stress,Contrastive Stress (General),Legal Proceedings,10014,1,The *EVIDENCE* was excluded from the trial.,"It was the evidence, not another type of submission, that was excluded.",除外されたのは証拠でした。,data/sentence_stress/wavs/10014/10014_1_3.wav,The evidence was excluded from the *TRIAL*.,"The evidence was excluded from the trial, not another part of the proceedings.",証拠は裁判の手続きから除外されました。,data/sentence_stress/wavs/10014/10014_2_5.wav
10,The judges will choose the best speaker from each team.,Sentence Stress,Contrastive Stress (General),Debate Competitions,10016,1,The *JUDGES* will choose the best speaker from each team.,"It is the judges who will make the decision, not anyone else.",審査員自身が各チームから最優秀スピーカーを選びます。,data/sentence_stress/wavs/10016/10016_1_3.wav,The judges will choose the *BEST* speaker from each team.,"They will select the top speaker, not anyone else from the team.",審査員は各チームから最優秀スピーカーを選びます。,data/sentence_stress/wavs/10016/10016_2_1.wav
